Fishe1	Fistulina_hepatica_ATCC_64428
Fomme1	Fomitiporia_mediterranea_MF3-22
Fpin	Fomitopsis_pinicola_FP-58527_SS1
Ffuj	Fusarium_fujikuroi_IMI58289
Fgra	Fusarium_graminearum_PH-1
Gmar	Galerina_marginata_CBS_339
Gansp1	Ganoderma_sp_10597_SS1
Gloz	Glarea_lozoyensis_74030
Glotr1_1	Gloeophyllum_trabeum_ATCC_11539
Gloci1	Glomerella_cingulata_23
Gste	Glonium_stellatum
Ganpr1	Gonapodya_prolifera_JEL478
Gscr	Graphis_scripta_1
Gcla	Grosmannia_clavigera_kw1407
Gymau1	Gymnascella_aurantiaca
Gymci1_1	Gymnascella_citrina_NRRL_5970
Gymlu1	Gymnopus_luxurians
Hebcy2	Hebeloma_cylindrosporum_h7
Hesve1	Hesseltinella_vesiculosa_NRRL_3301
Hetan2	Heterobasidion_annosum_TC_32-1
Hetpy1	Heterogastridium_pycnidioideum_ATCC_MYA-4631
Hpol	Homoloaphlyctis_polyrhiza_JEL142
Hwer	Hortaea_werneckii_M0
Hydpi2	Hydnomerulius_pinastri
Hfra	Hymenoscyphus_fraxineus_KW1
Hypsu1	Hypholoma_sublateritium
Hyspu1_1	Hysterium_pulicare_CBS_123377
Ilysp1	Ilyonectria_sp_PMI-82
Jaaar1	Jaapia_argillacea_MUCL_33604
Krho	Karstenula_rhodostoma_CBS_690
Kafr	Kazachstania_africana_CBS_2517
Klac	Kluyveromyces_lactis_NRRL_Y-1140
Kpas	Komagataella_pastoris_GS115
Lacam1	Laccaria_amethystina_LaAM-08-1
Lacbi2	Laccaria_bicolor_S238N-H82
Lenti6_1	Lentinus_tigrinus_ALCF2SS1-6
Lenfl1	Lentithecium_fluviatile_CBS_122367
Leppa1	Lepidopterella_palustris
Lmac	Leptosphaeria_maculans_JN3
Leumo1	Leucogyrophana_mollusca_KUC20120723A-06
Lcor	Lichtheimia_corymbifera_FSU_9682
Lichy1	Lichtheimia_hyalospora_FSU_10163
Lelo	Lodderomyces_elongisporus_NRRL_YB-4239
Lopma1	Lophiostoma_macrostomum_CBS_122681
Lmyt	Lophium_mytilinum_CBS_269
Lorju1	Loramyces_juncicola_46458
Macfu1	Macrolepiota_fuliginosa
Mory	Magnaporthe_oryzae_70-15
Mglo	Malassezia_globosa
Mbru	Marssonina_brunnea_f_sp_multigermtubi_MB_m1
Meimi1	Meira_miltonrushii_CBS_12591
Mellp1	Melampsora_laricis-populina_98AG31
Melsp1	Melanconium_sp_NRRL_54901
Mpul	Melanomma_pulvis-pyrius_CBS_109
Melbi2	Meliniomyces_bicolor_E
Melva1	Meliniomyces_variabilis_F
Mani	Metarhizium_anisopliae_ARSEF_23
Mfru	Metschnikowia_fructicola_277
Mgui	Meyerozyma_guilliermondii_ATCC_6260
Mtri	Microascus_trigonosporus_CBS_218
Mvio	Microbotryum_violaceum_p1A1_Lamole
Mfar	Millerozyma_farinosa_CBS_7064
Mosm	Mixia_osmundae_IAM_14324
Mhap	Monacrosporium_haptotylum_CBS_200
Monpu1	Monascus_purpureus_NRRL_1596
Monru1	Monascus_ruber_NRRL_1597
Monpe1_1	Moniliophthora_perniciosa_FA553
Morco1	Morchella_conica_CCBAS932
Morel1	Mortierella_elongata
Mver	Mortierella_verticillata_NRRL_6337
Mcir	Mucor_circinelloides_CBS277
BST	Mutinus_elegans_ME
Mthe	Myceliophthora_thermophila_ATCC_42464
Mfij	Mycosphaerella_fijiensis
Mgra	Mycosphaerella_graminicola_IPO323
Mdur	Myriangium_duriaei_CBS_260
Naifl1	Naiadella_fluitans_ATCC_64713
Nbac	Nakaseomyces_bacillisporus_CBS_7720
Ndel	Nakaseomyces_delphensis_CBS_2170
Nhae	Nectria_haematococca_FGSC_9596
Nempa1	Nematocida_parisii_ERTm1
Nirr	Neolecta_irregularis_DAH-1
Neole1	Neolentinus_lepideus_HHB14362_ss-1
Ncra	Neurospora_crassa_OR74A
Nexi	Niesslia_exilis_CBS_358
Nosce1	Nosema_ceranae_BRL01
Opar	Ogataea_parapolymorpha_DL-1
Oidma1	Oidiodendron_maius_Zn
Oole	Omphalotus_olearius_VT_653
Opic	Ophiostoma_piceae_UAMH_11346
Opil	Ophiostoma_piliferum
Orpsp1_1	Orpinomyces_sp_C1A
Pbra	Paracoccidioides_brasiliensis_Pb18
Patat1	Patellaria_atrata_CBS_101060
Paxin1	Paxillus_involutus_ATCC_200175
Pchr	Penicillium_chrysogenum_Wisconsin_54-1255
Perma1	Periconia_macrospinosa_DSE2036
Phaal1	Phaeoacremonium_aleophilum_UCRPA7
Pnod	Phaeosphaeria_nodorum_SN15
Phchr2	Phanerochaete_chrysosporium
Phlbr1	Phlebia_brevispora_HHB-7030_SS6
Phlgi1	Phlebiopsis_gigantea_11061_1_CR5-6
Phybl2	Phycomyces_blakesleeanus_NRRL_1555
Pkud	Pichia_kudriavzevii_SD108
Picst3	Pichia_stipitis_CBS_6054
Phor	Piedraia_hortae_CBS_480
Pilcr1	Piloderma_croceum_F_1598
Pirin1	Piriformospora_indica_DSM_11827
PirE2_1	Piromyces_sp_E2
Pisti1	Pisolithus_tinctorius_Marx_270
Psip	Pleomassaria_siparia_CBS_279
Post	Pleurotus_ostreatus_PC15
Pcri	Plicaturopsis_crispa_CBS_459
Pjir	Pneumocystis_jirovecii_SE8
Podan2	Podospora_anserina_S_mat+
Polci1	Polychaeton_citri_CBS_116435
Polfu1	Polyplosphaeria_fusca_CBS_125425
PosplRSB12_1	Postia_placenta_MAD_698-R
Pino	Protomyces_inouyei
Pela	Pseudographis_elatina
Pdes	Pseudogymnoascus_destructans_20631-21
Pant	Pseudozyma_antarctica_T-34
Pgra	Puccinia_graminis_f_sp_tritici_CRL_75-36-700-3
Pucst1	Puccinia_striiformis_f_sp_tritici_PST-130
Pstr	Punctularia_strigosozonata_HHB-11173_SS5
Ptri	Pyrenophora_tritici-repentis
Pyrco1	Pyronema_confluens_CBS_100304
Ramac1	Ramaria_rubella_UT-36052-T
Rsol	Rhizoctonia_solani_AG-1_IA
Gloin1	Rhizophagus_irregularis_DAOM_181602
Rhisa1	Rhizopogon_salebrosus_TDB-379
Rhivi1	Rhizopogon_vinicolor_AM-OR11-026
Rdel	Rhizopus_delemar_RA_99-880
Rtor	Rhodosporidium_toruloides_NP11
Rhoba1_1	Rhodotorula_graminis_WP1
Rhomi1	Rhodotorula_minuta_MCA_4210
Rruf	Rhytidhysteron_rufulum_CBS_306
Rall	Rozella_allomycis_CSF55
Sacpr1	Saccharata_proteae_CBS_121410
vR64-2-1	Saccharomyces_cerevisiae_S288C
Sarco1	Sarcoscypha_coccinea_ATCC_58028
Scom	Schizophyllum_commune_H4-8
Schpa1	Schizopora_paradoxa_KUC8140
Soct	Schizosaccharomyces_octosporus_yFS286
vASM294v2	Schizosaccharomyces_pombe_972h-
Sclci1	Scleroderma_citrinum_Foug_A
Sscl	Sclerotinia_sclerotiorum_1980_UF-70
Sebve1	Sebacina_vermifera_MAFF_305830
Slac	Serpula_lacrymans_S7
Sissu1	Sistotremastrum_suecicum_HHB10207_ss-3
Smac	Sordaria_macrospora_k-hell
Spas	Spathaspora_passalidarum_NRRL_Y-27907
Sfla	Spathularia_flavida
Sphst1	Sphaerobolus_stellatus_SS14
Smus	Sphaerulina_musiva_SO2202
Spun	Spizellomyces_punctatus_DAOM_BR117
Srei	Sporisorium_reilianum_SRZ2
Spoli1	Sporobolomyces_linderae_CBS_7893
Sporo1	Sporobolomyces_roseus_CBS_119925
Spofi1	Sporormia_fimetaria
Stano2	Stagonospora_nodorum_SN15
Shir	Stereum_hirsutum_FP-91666_SS1
Suibr1	Suillus_brevipes
Suilu1	Suillus_luteus_UH-Slu-Lm8-n1
Skoc	Symbiotaphrina_kochii_250
Tmar	Talaromyces_marneffei_ATCC_18224
Tsti	Talaromyces_stipitatus_ATCC_10500
Tdef	Taphrina_deformans
Tescy1	Testicularia_cyperi_MCA_3645
Tpha	Tetrapisispora_phaffii_CBS_4417
Tste	Thelebolus_stercoreus
Theau1	Thermoascus_aurantiacus_ATCC26904
Tlan	Thermomyces_lanuginosus_SSBP
Thite2	Thielavia_terrestris_NRRL_8126
ThoPMI491_1	Thozetella_sp_PMI_491
Tano	Tilletiaria_anomala_UBC_951
Tmin	Togninia_minima_UCRPA7
Tinf	Tolypocladium_inflatum_NRRL_8044
Tdel	Torulaspora_delbrueckii_CBS_1146
Totfu1	Tothia_fuscella_CBS_130266
Tver	Trametes_versicolor_FP-101664_SS1
Trepe1	Trematosphaeria_pertusa_CBS_122368
Tmes	Tremella_mesenterica_Fries
Tbis	Trichodelitschia_bisporula_CBS_262
Triat2	Trichoderma_atroviride_IMI_206040
TriviGv29_8_2	Trichoderma_virens_Gv29-8
Trima3	Tricholoma_matsutake_945
Trub	Trichophyton_rubrum_CBS_118892
Tasa	Trichosporon_asahii_var_asahii_CBS_8904
Triol1	Trichosporon_oleaginosus_IBC0246
Trigu1	Trinosporium_guianense_CBS_132537
Tsp	Tritirachium_sp_CBS_265
Tryvi1	Trypethelium_eluteriae
Tmel	Tuber_melanosporum
Tulca1	Tulasnella_calospora_AL13-4D
Umbra1	Umbelopsis_ramanniana_NRRL_5844
Uree	Uncinocarpus_reesii_1704
Umay	Ustilago_maydis_521
Verda1	Verticillium_dahliae_JR2
Volvo1	Volvariella_volvacea_V23
Wich	Wallemia_ichthyophaga_EXF-994
Wseb	Wallemia_sebi_CBS_633
Wmik	Wilcoxina_mikolae_CBS_423
Wolco1	Wolfiporia_cocos_MD-104_SS10
Xanpa2	Xanthoria_parietina_46-1
Xylhe1	Xylona_heveae_TC161
Ylip	Yarrowia_lipolytica_CLIB122
Zasce1	Zasmidium_cellare_ATCC_36951
Zrhi	Zopfia_rhizophila_CBS_207
Zrou	Zygosaccharomyces_rouxii_CBS_732
Zpse	Zymoseptoria_pseudotritici_STIR04_4
